time,OCV
469.0,3.835115
470.0,3.834355
471.0,3.8335150000000002
472.0,3.8327549999999997
473.0,3.831995
474.0,3.83124
475.0,3.8304799999999997
476.0,3.8296349999999997
477.0,3.828875
478.0,3.82812
479.0,3.8273650000000004
480.0,3.8266
481.0,3.825845
482.0,3.825
483.0,3.8242449999999995
484.0,3.823485
485.0,3.822725
486.0,3.821885
487.0,3.82112
488.0,3.82028
489.0,3.819525
490.0,3.8186799999999996
491.0,3.8179199999999995
492.0,3.8170800000000003
493.0,3.8162350000000003
494.0,3.815475
495.0,3.814635
496.0,3.81379
497.0,3.813035
498.0,3.81219
499.0,3.811345
500.0,3.810505
501.0,3.8097450000000004
502.0,3.8089
503.0,3.80806
504.0,3.8072199999999996
505.0,3.806375
506.0,3.80553
507.0,3.8046049999999996
508.0,3.8037650000000003
509.0,3.8029200000000003
510.0,3.801995
511.0,3.80115
512.0,3.8002199999999995
513.0,3.799295
514.0,3.7983700000000002
515.0,3.79736
516.0,3.79643
517.0,3.79542
518.0,3.7943249999999997
519.0,3.79331
520.0,3.7923
521.0,3.79112
522.0,3.7901949999999998
523.0,3.78901
524.0,3.787915
525.0,3.78682
526.0,3.78573
527.0,3.7847150000000003
528.0,3.7835349999999996
529.0,3.7824400000000002
530.0,3.781345
531.0,3.78033
532.0,3.779235
533.0,3.7781399999999996
534.0,3.777125
535.0,3.7761199999999997
536.0,3.775195
537.0,3.77418
538.0,3.773085
539.0,3.772075
540.0,3.7711449999999997
541.0,3.77013
542.0,3.769205
543.0,3.7681950000000004
544.0,3.76727
545.0,3.76634
546.0,3.765415
547.0,3.764575
548.0,3.763725
549.0,3.7628000000000004
550.0,3.761875
551.0,3.7609500000000002
552.0,3.760105
553.0,3.7591799999999997
554.0,3.758335
555.0,3.7574050000000003
556.0,3.75648
557.0,3.755725
558.0,3.754875
559.0,3.75395
560.0,3.7531100000000004
561.0,3.75227
562.0,3.751505
563.0,3.7505800000000002
564.0,3.74974
565.0,3.748895
566.0,3.74805
567.0,3.7472950000000003
568.0,3.746365
569.0,3.7455249999999998
570.0,3.7446849999999996
571.0,3.7439199999999997
572.0,3.7430800000000004
573.0,3.7422400000000002
574.0,3.741475
575.0,3.7406349999999997
576.0,3.739795
577.0,3.7390349999999994
578.0,3.73819
579.0,3.7374350000000005
580.0,3.7365900000000005
581.0,3.735745
582.0,3.73499
583.0,3.734145
584.0,3.73347
585.0,3.73263
586.0,3.73187
587.0,3.73103
588.0,3.7301849999999996
589.0,3.729425
590.0,3.72867
591.0,3.727825
592.0,3.72715
593.0,3.72631
594.0,3.7255449999999994
595.0,3.7247900000000005
596.0,3.7239500000000003
597.0,3.7232700000000003
598.0,3.72243
599.0,3.7216750000000003
600.0,3.720915
601.0,3.720155
602.0,3.71948
603.0,3.71864
604.0,3.71788
605.0,3.717205
606.0,3.71645
607.0,3.715605
608.0,3.7148450000000004
609.0,3.714175
610.0,3.7134099999999997
611.0,3.712655
612.0,3.71198
613.0,3.71122
614.0,3.71055
615.0,3.70979
616.0,3.70903
617.0,3.708355
618.0,3.7076000000000002
619.0,3.7068350000000003
620.0,3.706165
621.0,3.7054099999999996
622.0,3.70473
623.0,3.703975
624.0,3.7033
625.0,3.70254
626.0,3.7018700000000004
627.0,3.70111
628.0,3.7004350000000006
629.0,3.69976
630.0,3.6990849999999997
631.0,3.698325
632.0,3.697655
633.0,3.69689
634.0,3.6963049999999997
635.0,3.69563
636.0,3.69487
637.0,3.6942
638.0,3.693605
639.0,3.69285
640.0,3.6921749999999998
641.0,3.6915850000000003
642.0,3.6908250000000002
643.0,3.690155
644.0,3.68956
645.0,3.68889
646.0,3.688125
647.0,3.6875400000000003
648.0,3.686865
649.0,3.686275
650.0,3.6855149999999997
651.0,3.6848400000000003
652.0,3.68425
653.0,3.68358
654.0,3.682985
655.0,3.682315
656.0,3.6817200000000003
657.0,3.68105
658.0,3.680455
659.0,3.6797850000000003
660.0,3.679195
661.0,3.67852
662.0,3.67793
663.0,3.6772549999999997
664.0,3.676665
665.0,3.6759950000000003
666.0,3.6754
667.0,3.67473
668.0,3.6741349999999997
669.0,3.673465
670.0,3.6728699999999996
671.0,3.6722849999999996
672.0,3.67169
673.0,3.671105
674.0,3.6704299999999996
675.0,3.6698399999999998
676.0,3.66925
677.0,3.66866
678.0,3.667985
679.0,3.6674800000000003
680.0,3.66689
681.0,3.666215
682.0,3.66571
683.0,3.6650350000000005
684.0,3.664445
685.0,3.663855
686.0,3.663265
687.0,3.6625900000000002
688.0,3.662085
689.0,3.66141
690.0,3.6609049999999996
691.0,3.66023
692.0,3.659725
693.0,3.65905
694.0,3.658545
695.0,3.657955
696.0,3.657365
697.0,3.656775
698.0,3.656105
699.0,3.655595
700.0,3.65501
701.0,3.65433
702.0,3.65383
703.0,3.6532349999999996
704.0,3.652565
705.0,3.6519699999999995
706.0,3.6514699999999998
707.0,3.650875
708.0,3.650285
709.0,3.64961
710.0,3.6490199999999997
711.0,3.648435
712.0,3.6478399999999995
713.0,3.647255
714.0,3.646575
715.0,3.6459050000000004
716.0,3.645315
717.0,3.644725
718.0,3.644135
719.0,3.64346
720.0,3.6428700000000003
721.0,3.642195
722.0,3.6416049999999998
723.0,3.6410150000000003
724.0,3.640345
725.0,3.639665
726.0,3.63908
727.0,3.6384049999999997
728.0,3.637725
729.0,3.637055
730.0,3.6364650000000003
731.0,3.63579
732.0,3.635115
